Hersteller;Name;Horizontale Aufl (Px);Vertikale Aufl (Px);Auflösung;Spektrale Empfindlichkeit;Ausgabeformate;Sensortyp;Pixelgröße (µm);Sensorgröße (mm);Sensormodel;Sensorformat;Bildfrequenz (Hz);Objektivanschluss;Shuttertyp;Dynamic Range [dB];S/N-ratio [dB];Schnittstellenkonfiguration;Schnittstelle;Sensorkonfiguration;Gehäusetyp;web-scraper-start-url;Link-href;Listenpreis [€]
Allied Vision;AV ALVIUM 1500C-050C-BB;800;600;0,5;Colour;YUV422;CMOS;4,8;4,8;Python 480;"1/3.6""";116;None;Rolling shutter;null;null;null;null;Single sensor;Bare Board;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050c-bb/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-050C-OH-C;800;600;0,5;Colour;YUV422;CMOS;4,8;4,8;Python 480;"1/3.6""";116;C-mount;Global shutter;null;null;null;null;Single sensor;Open Housing;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050c-oh-c/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-050C-OH-CS;800;600;0,5;Colour;YUV422;CMOS;4,8;4,8;Python 480;"1/3.6""";116;CS-mount;Global shutter;null;null;null;null;Single sensor;Open Housing;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050c-oh-cs/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-050C-OH-S;800;600;0,5;Colour;YUV422;CMOS;4,8;4,8;Python 480;"1/3.6""";116;S-mount;Global shutter;null;null;null;null;Single sensor;Open Housing;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050c-oh-s/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-050M-BB;800;600;0,5;Monochrome;RAW8;CMOS;4,8;4,8;Python 480;"1/3.6""";116;None;Rolling shutter;null;null;null;null;Single sensor;Bare Board;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050m-bb/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-050M-OH-C;800;600;0,5;Monochrome;RAW8;CMOS;4,8;4,8;Python 480;"1/3.6""";116;C-mount;Global shutter;null;null;null;null;Single sensor;Open Housing;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050m-oh-c/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-050M-OH-CS;800;600;0,5;Monochrome;RAW8;CMOS;4,8;4,8;Python 480;"1/3.6""";116;CS-mount;Global shutter;null;null;null;null;Single sensor;Open Housing;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050m-oh-cs/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-050M-OH-S;800;600;0,5;Monochrome;RAW8;CMOS;4,8;4,8;Python 480;"1/3.6""";116;S-mount;Global shutter;null;null;null;null;Single sensor;Open Housing;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-050m-oh-s/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-120C-BB;1280;960;1,2;Colour;YUV422;CMOS;3,75;6;AR0135CS;"1/3""";50;None;Rolling shutter;null;null;null;null;Single sensor;Bare Board;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-120c-bb/;Auf Anfrage
Allied Vision;AV ALVIUM 1500C-120C-OH-C;1280;960;1,2;Colour;YUV422;CMOS;3,75;6;AR0135CS;"1/3""";50;C-mount;Global shutter;null;null;null;null;Single sensor;Open Housing;https://www.stemmer-imaging.com/de-de/produkte/kategorie/flaechenkameras/?q=&a_megapixel_0=&a_megapixel_1=&a_frame-rate_0=&a_frame-rate_1=&a_interface=&a_lens-mount=&sort=name&view_mode=products_table&table_sort=;https://www.stemmer-imaging.com/de-de/produkte/av-alvium-1500c-120c-oh-c/;Auf Anfrage
